Code,Name,Officialname,Registration_number,Keph level,Facility type,Facility_type_category,Owner,Owner type,Regulatory body,Beds,Cots,County,Constituency,Sub county,Ward,Operation status,Admission status,Closed
28954,Equity Afia Medical Centre(Ruai),Equity Afia Medical Centre(Ruai),016492,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - General Practitioner,Private Practice,Kenya MPDB,0,0,Nairobi,Kasarani,Kasarani,Ruai,Operational,Not Admitting Patients,No
28927,Airport View Diagnostic Medical Care,Airport View Diagnostic Medical Care,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Clinical Officer,Private Practice,Kenya MPDB,1,0,Mombasa,Changamwe,Changamwe,Port Reitz,Operational,None,No
28910,Calvary Hill Hospital,Calvary Hill Hospital,018795,Level 4,Primary care hospitals,HOSPITALS,Private Practice - Medical Specialist,Private Practice,Kenya MPDB,90,10,Kajiado,Kajiado North,Kajiado North,Ngong,Operational,Admitting General & Maternity Patients,No
28911,Chepkorgongit Dispensary,Chepkorgongit Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,None,0,0,Kericho,Sigowet/Soin,Sigowet/Soin,Soliat,Operational,None,No
28924,Mother Mazzarello Dispensary,Mother Mazzarello Dispensary,005551,Level 2,Dispensary,DISPENSARY,Kenya Episcopal Conference-Catholic Secretariat,Faith Based Organization,Kenya MPDB,0,0,Embu,Manyatta,Manyatta,Mbeti North,Operational,None,No
28918,Premiercare  narok Limited,Premiercare diagnostic hospital Annex Limited,pvt-eyubxqe2,Level 4,Secondary care hospitals,HOSPITALS,Private Practice - General Practitioner,Private Practice,Ministry of Health,50,7,Narok,Narok North,Narok North,Narok Town,Operational,Admitting General & Maternity Patients,No
28969,Palm View Medical Center,Palm View Medical Center,018796,Level 3,Medical Center,MEDICAL CENTER,Private Practice - General Practitioner,Private Practice,Kenya MPDB,6,3,Mombasa,Mvita,Mvita,Tudor,Operational,Admitting General & Maternity Patients,No
28968,Mombasa Breeze Hospital,Mombasa Breeze Hospital,018285,Level 4,Secondary care hospitals,HOSPITALS,Private Practice - Medical Specialist,Private Practice,Kenya MPDB,53,9,Mombasa,Mvita,Mvita,Majengo,Operational,Admitting General & Maternity Patients,No
28903,Gifted Minds Medical Centre,Gifted Minds Medical Centre,BN-MXCMJB53,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - General Practitioner,Private Practice,Kenya MPDB,2,0,Kisumu,Kisumu Central,Kisumu Central,Railways,Operational,None,No
28940,Elephant Dental Clinic Kakamega,Elephant Dental Clinic kakamega,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Medical Specialist,Private Practice,Kenya MPDB,0,0,Kakamega,Lurambi,Lurambi,Mahiakalo,Operational,Not Admitting Patients,No
28938,Mediheal Hospital Kakamega,Mediheal Hospital Kakamega,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - General Practitioner,Private Practice,None,0,0,Kakamega,Lurambi,Lurambi,Mahiakalo,Operational,Not Admitting Patients,No
28939,Ematsayi BALL Mission hospital,Ematsayi BALL Mission hospital,None,Level 3,Medical Center,MEDICAL CENTER,Other Faith Based,Faith Based Organization,None,0,0,Kakamega,Lurambi,Lurambi,Butsotso South,Operational,Not Admitting Patients,No
28923,Makara Dispensary,Makara Dispensary,.,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,Nyandarua,Ol Kalou,Olkalou,Mirangine,Operational,None,No
28899,Los Lexington Medical Center,Los Lexington Medical Center,None,Level 2,Medical Center,MEDICAL CENTER,Private Practice - General Practitioner,Private Practice,None,0,0,Machakos,Machakos Town,Machakos,Machakos Central,Operational,None,No
28937,St Marks Medical Centre,St Marks Medical Centre,018096,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Clinical Officer,Private Practice,Clinical Officers Council,4,0,Kakamega,Malava,Malava,West Kabras,Operational,None,No
28894,Obambo Dispensary,Obambo Dispensary,255020,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,Siaya,Alego Usonga,Alego Usonga,Central Alego,Operational,None,No
28932,Kwa mwaura Dispensary,Kwa Mwaura Dispensary,N/A,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,Machakos,Matungulu,Matungulu,Matungulu North,Operational,Admitting Maternity Patients Only,No
28888,University Tower Medical centre,University Tower Medical centre,None,Level 2,Medical Center,MEDICAL CENTER,Private Practice - Clinical Officer,Private Practice,Clinical Officers Council,0,0,Muranga,Kiharu,Kiharu,Township,Operational,None,No
28900,Guardian Hospital,Guardian Hospital,SP/2021/1055,Level 4,Primary care hospitals,HOSPITALS,Private Practice - Medical Specialist,Private Practice,Kenya MPDB,370,0,Meru,Igembe Central,Igembe Central,Kangeta,Operational,Admitting General & Maternity Patients,No
28890,Intergrated Vision Centre Mlimani MissionHospital,Intergrated Vision Centre Mlimani Mission Hospital,018818,Level 3,Primary care hospitals,HOSPITALS,Other Faith Based,Faith Based Organization,Kenya MPDB,10,0,Uasin Gishu,Turbo,Turbo,Kiplombe,Operational,None,No
28892,Equity Afya Juja,Equity Afya Juja,016047,Level 3,Medical Center,MEDICAL CENTER,Private Practice - General Practitioner,Private Practice,Kenya MPDB,0,0,Kiambu,Juja,Juja,Juja,Operational,None,No
28889,Ravine Specialists Hospital,Ravine Specialist Hospital,None,Level 4,Secondary care hospitals,HOSPITALS,Private Practice - Medical Specialist,Private Practice,Kenya MPDB,24,3,Baringo,Eldama Ravine,Koibatek,Ravine,Operational,Admitting General & Maternity Patients,No
28912,Brighton Medical Centre,Brighton Medical Centre,018558,Level 3,Medical Center,MEDICAL CENTER,Private Practice - Clinical Officer,Private Practice,Kenya MPDB,35,0,Kisii,Bomachoge Borabu,Bomachoge Borabu,Boochi Borabu,Operational,Admitting General & Maternity Patients,No
28955,Growth Changer Health Center,Growth Changer Health Center,55835,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Private Company,Private Practice,Kenya MPDB,0,0,Nairobi,Embakasi South,Embakasi South,Imara Daima,Operational,None,No
28908,The Dentist Limited,The Dentist Limited,015814,Level 2,Dental Clinic,STAND ALONE,Private Practice - Private Company,Private Practice,Kenya MPDB,0,0,Nakuru,Nakuru Town East,Nakuru East,Biashara,Operational,None,No
28957,Tumaini Medical Centre  Rwika,Tumaini Medical Centre  Rwika,018545,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Nurse / Midwifery,Private Practice,Kenya MPDB,0,0,Embu,Mbeere South,Mbeere South,Mbeti South,Operational,None,No
28904,NOPE Sasa Centre (Gilgil),NOPE Sasa Centre (Gilgil),018747,Level 2,Medical Clinic,MEDICAL CLINIC,Non-Governmental Organizations,Non-Governmental Organizations,Ministry of Health,0,0,Nakuru,Gilgil,Gilgil,Gilgil,Operational,None,No
28907,Muanju Health Care Services(Gilgil),Muanju Health Care Services,018747,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Nurse / Midwifery,Private Practice,Kenya MPDB,0,0,Nakuru,Gilgil,Gilgil,Gilgil,Operational,None,No
28897,Olng'oswet dispensary,Olng'oswet dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,2,0,Bomet,Bomet East,Bomet East,Longisa,Operational,None,No
28885,Mama Margaret Uhuru Hospital,Mama Margaret Uhuru Hospital,018846,Level 5,Specialized & Tertiary Referral hospitals,HOSPITALS,Ministry of Health,Ministry of Health,Kenya MPDB,350,20,Nairobi,Ruaraka,Ruaraka,Korogocho,Operational,Admitting General & Maternity Patients,No
28886,Minnesota costimec Dental Limited,Minnesota costimec Dental Limited,018597,Level 3,Medical Clinic,MEDICAL CLINIC,Private Practice - Clinical Officer,Private Practice,Kenya MPDB,0,0,Nairobi,Kamukunji,Kamukunji,California,Operational,None,No
28905,Elephant Dental - Naivasha Clinic,Elephant Dental - Naivasha Clinic,002955,Level 3,Medical Clinic,MEDICAL CLINIC,Private Practice - General Practitioner,Private Practice,Kenya MPDB,0,0,Nakuru,Naivasha,Naivasha,Viwandani,Operational,None,No
28916,New Era Hospital,New Era Hospital,018312,Level 3,Primary care hospitals,HOSPITALS,Private Practice - Clinical Officer,Private Practice,Clinical Officers Council,10,4,Kiambu,Gatundu North,Gatundu North,Chania,Operational,Admitting General & Maternity Patients,No
28884,Utra Kathiani Hospital,Utra Kathiani Hospital,015829,Level 3,Basic Health Centre,HEALTH CENTRE,Private Practice - Clinical Officer,Private Practice,Kenya MPDB,20,10,Machakos,Kathiani,Kathiani,Kathiani Central,Operational,Admitting General & Maternity Patients,No
28883,Ananda Marga Dispensary,Ananda Marga Dispensary,55601,Level 2,Dispensary,DISPENSARY,Other Faith Based,Faith Based Organization,Kenya MPDB,0,0,Nairobi,Roysambu,Roysambu,Githurai,Operational,None,No
28926,Kilos dispensary,Kilos dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Kenya MPDB,0,0,Elgeyo Marakwet,Marakwet West,Marakwet West,Arror,Operational,Admitting General & Maternity Patients,No
28870,The Aga Khan University Hospital-Peponi Executive Clinic,The Aga Khan University Hospital-Peponi Executive Clinic,017930,Level 3,Medical Center,MEDICAL CENTER,Private Practice - Private Company,Private Practice,Kenya MPDB,0,0,Nairobi,Westlands,Westlands,Parklands/Highridge,Operational,None,No
28872,Joy Medical Medical,Joy Medical Medical,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Clinical Officer,Private Practice,Kenya MPDB,0,0,Mombasa,Kisauni,Kisauni,Junda,Operational,None,No
28874,Caremark Hospital,Caremark Hospital,None,Level 3,Medical Center,MEDICAL CENTER,Private Practice - General Practitioner,Private Practice,None,0,0,Nairobi,Dagoretti North,Dagoretti North,Kileleshwa,Operational,None,No
28875,Canopy ENT and Dermotology Centre,Canopy ENT and Dermotology Centre,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Clinical Officer,Private Practice,Kenya MPDB,0,0,Kirinyaga,Kirinyaga Central,Kirinyaga Central,Kerugoya,Operational,None,No
28876,Mwaeba Garithe,Mwaeba Garithe,COC/F/740,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,1,0,Kilifi,Magarini,Magarini,Gongoni,Operational,None,No
28882,Brison Premier Hospital,Brison Premier Hospital,018674,Level 3,Primary care hospitals,HOSPITALS,Private Practice - Private Company,Private Practice,Kenya MPDB,15,1,Kajiado,Kajiado East,Kajiado East,Kitengela,Operational,Admitting General & Maternity Patients,No
28860,Bella Dispensary,Bella Dispensary,22508,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Pharmacy & Poisons Board,16,1,Mandera,Mandera East,Mandera East,Khalalio,Operational,Admitting General & Maternity Patients,No
28861,Ainamoi Health Clinic,Ainamoi Health Clinic,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Clinical Officer,Private Practice,Kenya MPDB,0,0,Kericho,Ainamoi,Ainamoi,Ainamoi,Operational,None,No
28862,Fig Tree Tengecha Medical Unit,Fig Tree Tengecha Medical Unit,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Clinical Officer,Private Practice,Kenya MPDB,0,0,Kericho,Ainamoi,Ainamoi,Kipchebor,Operational,None,No
28863,Masikita Simiti Dispernsary,Masikita Simiti Dispernsary,11112,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,Samburu,Samburu North,Samburu North,Ndoto,Operational,None,No
28868,Salama Cancer Centre Ltd,Salama Cancer Centre Ltd,017968,Level 3,Medical Center,MEDICAL CENTER,Private Practice - Medical Specialist,Private Practice,Kenya MPDB,5,0,Kisumu,Kisumu Central,Kisumu Central,Railways,Operational,None,No
28866,Twala Dispensary,Twala Dispensary,11112,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,Samburu,Samburu East,Samburu East,Wamba North,Operational,Not Admitting Patients,No
28887,Plasma Technologies LTD,Plasma Technologies LTD,F 081,Level 2,Laboratory,STAND ALONE,Private Practice Lab Technician/Technologist,Private Practice,Kenya MPDB,0,0,Mombasa,Mvita,Mvita,Shimanzi/Ganjoni,Operational,Not Admitting Patients,No
28925,Kindred Medical Centre,Kindred Medical Centre,018550,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Clinical Officer,Private Practice,Kenya MPDB,0,0,Nairobi,Kasarani,Kasarani,Njiru,Operational,Not Admitting Patients,No
28877,Equity Afia Kariobangi,Equity Afia Kariobangi,016288,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - General Practitioner,Private Practice,Kenya MPDB,0,0,Nairobi,Embakasi North,Embakasi North,Kariobangi North,Operational,Not Admitting Patients,No
28881,Giathae Medical Services,Giathae Medical Services,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Clinical Officer,Private Practice,Clinical Officers Council,0,0,Muranga,Maragwa,muranga south,Kimorori/Wempa,Non-Operational,Not Admitting Patients,No
28873,Gulf Medical,Gulf Healthcare (K)LTD,003736,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Private Company,Private Practice,Kenya MPDB,0,0,Mombasa,Mvita,Mvita,Shimanzi/Ganjoni,Operational,Not Admitting Patients,No
28878,Tranquil Olympian Ultracare House,Tranquil Olympian Ultracare House,52511,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Clinical Officer,Private Practice,Kenya MPDB,0,0,Nairobi,Embakasi East,Embakasi East,Lower Savannah,Operational,Admitting General & Maternity Patients,No
28856,Ngano Dispensary,Ngano Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,Samburu,Samburu Central,Samburu Central,Porro,Operational,Not Admitting Patients,No
28855,Lorok Lolmongo,Lorok Lolmongo,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,Samburu,Samburu North,Samburu North,Baawa,Non-Operational,Not Admitting Patients,No
28854,Loiragai Dispensary,Loiragai Dispensary,0002,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,Samburu,Samburu Central,Samburu Central,Loosuk,Non-Operational,Not Admitting Patients,No
28853,Lengarde Dispensary,Lengarde Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,None,0,0,Samburu,Samburu East,Samburu East,Wamba East,Operational,Not Admitting Patients,No
28859,Golgoltim Dispensary,Golgoltim Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,None,0,0,Samburu,Samburu East,Samburu East,Wamba East,Operational,Not Admitting Patients,No
28865,Naisunyai Dispensary,Naisunyai Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,None,0,0,Samburu,Samburu East,Samburu East,Wamba West,Operational,Not Admitting Patients,No
28906,The Minute Medical Clinic.,The Minute Medical Clinic.,018755,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Clinical Officer,Private Practice,Kenya MPDB,0,0,Nakuru,Naivasha,Naivasha,Viwandani,Operational,Not Admitting Patients,No
28857,Nonkupuli Dispensary,Nonkupuli Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,None,0,0,Samburu,Samburu East,Samburu East,Wamba West,Operational,Not Admitting Patients,No
28858,Lekuru Dispensary,Lekuru Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,None,0,0,Samburu,Samburu Central,Samburu Central,Lodokejek,Non-Operational,Not Admitting Patients,No
28895,Plaza Specialist Hospital,Plaza Specialist Hospital ( Machakos),018710,Level 4,Primary care hospitals,HOSPITALS,Private Practice - Medical Specialist,Private Practice,None,60,0,Machakos,Machakos Town,Machakos,Machakos Central,Operational,Admitting General & Maternity Patients,No
28864,Mugur Dispensary,Mugur Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,Samburu,Samburu Central,Samburu Central,Lodokejek,Operational,Not Admitting Patients,No
28852,Kitobor Dispensary,Kitobor Dispensary,1234,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Nursing Council of Kenya (Private Practice),0,0,Samburu,Samburu Central,Samburu Central,Suguta Marmar,Non-Operational,Not Admitting Patients,No
28849,NACHOLA MEDICAL CLINIC,NACHOLA MEDICAL CLINIC,,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Nurse / Midwifery,Private Practice,Nursing Council of Kenya (Private Practice),1,0,Samburu,Samburu North,Samburu North,El-barta,Operational,Not Admitting Patients,No
28844,BENDERA DISPENSARY,BENDERA DISPENSARY,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,Samburu,Samburu North,Samburu North,El-barta,Non-Operational,Not Admitting Patients,No
28848,Soit Ng'iro Dispensary,Soit Ng'iro Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,Samburu,Samburu North,Samburu North,Ndoto,Operational,Not Admitting Patients,No
28851,LOODUA DISPENSARY,LOODUA DISPENSARY,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,Samburu,Samburu North,Samburu North,Ndoto,Operational,Not Admitting Patients,No
28847,Meditox Healthcare Services Ltd,Meditox Healthcare Services Ltd,A10571,Level 3,Nursing and Maternity Home,NURSING HOME,Private Practice - General Practitioner,Private Practice,Kenya MPDB,24,2,Mandera,Mandera East,Mandera East,Township,Operational,Admitting General & Maternity Patients,No
28850,Waamo Community Hospital,Waamo Community Hospital,None,Level 3,Secondary care hospitals,HOSPITALS,Private Practice - Clinical Officer,Private Practice,None,12,1,Kiambu,Juja,Juja,Witeithie,Operational,Admitting General & Maternity Patients,No
28879,St Peter Medical Centre (Kasarani),St Peter Medical Centre (Kasarani),004054,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice Lab Technician/Technologist,Private Practice,Kenya MPDB,0,0,Nairobi,Kasarani,Kasarani,Clay City,Operational,Not Admitting Patients,No
28845,Lans Medical Clinics Mikinduri,Lans Medical Clinics Mikinduri,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice Lab Technician/Technologist,Private Practice,Kenya MPDB,0,0,Meru,Tigania East,Tigania Central,Mikinduri,Operational,Not Admitting Patients,No
28846,Kiendege  Health Centre,Kiendege  Health Centre,None,Level 3,Basic Health Centre,HEALTH CENTRE,Ministry of Health,Ministry of Health,Ministry of Health,3,1,Nyamira,Kitutu Masaba,Manga,Kamera,Operational,Admitting Maternity Patients Only,No
28871,Mukinduri Family Medical Centre,Mukinduri Family Medical Centre,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Clinical Officer,Private Practice,Kenya MPDB,2,0,Kirinyaga,Kirinyaga Central,Kirinyaga Central,Kanyekini,Non-Operational,Not Admitting Patients,No
28880,Sokoni Dreams-Kawangware,Sokoni Dreams-Kawangware,014853,Level 2,Medical Clinic,MEDICAL CLINIC,Non-Governmental Organizations,Non-Governmental Organizations,Kenya MPDB,0,0,Nairobi,Dagoretti North,Dagoretti North,Kawangware,Operational,Not Admitting Patients,No
28909,Raon Medical Clinic And Pharmacy,Raon Medical Clinic And Pharmacy,22721,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Clinical Officer,Private Practice,Clinical Officers Council,0,0,Nakuru,Rongai,Rongai,Mosop,Operational,Not Admitting Patients,No
28811,Stirling Healthcare Consultants LTD-Busia,Stirling Healthcare Consultants LTD-Busia,007005,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - General Practitioner,Private Practice,Kenya MPDB,0,0,Busia,Matayos,Matayos,Burumba,Operational,Not Admitting Patients,No
28812,Abrar Health Services Ltd(Kibwezi),Abrar Health Services Limited,018519,Level 3,Nursing Homes,NURSING HOME,Private Practice - Medical Specialist,Private Practice,Kenya MPDB,16,3,Makueni,Kibwezi East,Kibwezi East,Thange,Operational,Admitting Maternity Patients Only,No
28813,Nairobi Radiotherapy and Cancer Centre-Kindaruma,Nairobi Radiotherapy and Cancer Centre-Kindaruma,016175,Level 4,Primary care hospitals,HOSPITALS,Private Practice - Medical Specialist,Private Practice,Kenya MPDB,2,0,Nairobi,Dagoretti North,Dagoretti North,Kilimani,Operational,Not Admitting Patients,No
28814,Samia Nursing Home,Samia Nursing Home,004452,Level 3,Nursing Homes,NURSING HOME,Private Practice - Nurse / Midwifery,Private Practice,Kenya MPDB,6,2,Wajir,Wajir East,Wajir East,Township,Operational,Admitting General & Maternity Patients,No
28839,Baragoi Health Care Medical Clinic,Baragoi Health Care Medical Clinic,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Clinical Officer,Private Practice,None,1,0,Samburu,Samburu North,Samburu North,El-barta,Operational,Not Admitting Patients,No
28816,Shifa Taqwa Medical Centre,Shifa Taqwa Medical Centre,None,Level 3,Medical Center,MEDICAL CENTER,Private Practice - Clinical Officer,Private Practice,None,16,0,Kisumu,Kisumu East,Kisumu East,Kolwa Central,Operational,Not Admitting Patients,No
28804,Grace Memorial Hospital LTD,Grace Memorial Hospital LTD,018437,Level 3,Medical Center,MEDICAL CENTER,Private Practice - Medical Specialist,Private Practice,Kenya MPDB,0,0,Nairobi,Embakasi East,Embakasi East,Utawala,Operational,Not Admitting Patients,No
28869,Duke Health Services,Duke Health Services,None,Level 2,Medical Center,MEDICAL CENTER,Private Practice - Clinical Officer,Private Practice,Clinical Officers Council,0,0,Muranga,Maragwa,muranga south,Kimorori/Wempa,Non-Operational,Not Admitting Patients,No
28805,Maxmed Nursing Home,Maxmed Nursing Home,None,Level 3,Nursing and Maternity Home,NURSING HOME,Private Practice - Clinical Officer,Private Practice,Kenya MPDB,11,1,Nairobi,Dagoretti South,Dagoretti South,Waithaka,Operational,Admitting General & Maternity Patients,No
28806,Neema Dental Center,Neema Dental Center,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Medical Specialist,Private Practice,None,0,0,Kirinyaga,Mwea,Kirinyaga South,Tebere,Operational,Not Admitting Patients,No
28815,Metkei Community Dispensary,Metkei Community Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,Elgeyo Marakwet,Keiyo South,Keiyo South,Metkei,Operational,Not Admitting Patients,No
28790,Reproductive Health Services,Reproductive Health Services,016521,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Private Company,Private Practice,Kenya MPDB,0,0,Nairobi,Starehe,Starehe,Nairobi Central,Operational,Not Admitting Patients,No
28800,Meticuluos Nursing Home Limited,Meticuluos Nursing Home Limited,018702,Level 3,Nursing Homes,NURSING HOME,Private Practice - Private Company,Private Practice,Kenya MPDB,9,1,Nairobi,Starehe,Starehe,Nairobi South,Operational,Not Admitting Patients,No
28797,Imperio Shepherds Medical Group LTD Parklands,Imperio Shepherds Medical Group LTD Parklands,None,Level 3,Medical Center,MEDICAL CENTER,Private Practice - Private Company,Private Practice,None,0,0,Nairobi,Starehe,Starehe,Ngara,Operational,Not Admitting Patients,No
28789,Benlynn Health Care Clinic,Benlynn Health Care Clinic,COC/F/740,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Clinical Officer,Private Practice,Clinical Officers Council,0,0,Bomet,Chepalungu,Chepalungu,Kong'asis,Operational,Not Admitting Patients,No
28786,Vivid medical Centre Ltd,Vivid Medical Centre Ltd,None,Level 3,Medical Center,MEDICAL CENTER,Private Practice - Medical Specialist,Private Practice,Kenya MPDB,0,0,Mombasa,Nyali,Nyali,Kongowea,Operational,Not Admitting Patients,No
